epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.833,1.60114,3.62541,1.23993,0.03576,0.9423,0.21368,0.13756,1.06061,3.7653,0.91421,0.000190842,0.000190842,0.000190842
2,397.632,1.34095,2.02344,1.08178,0.40955,0.6005,0.50222,0.34095,1.05804,3.11557,0.98311,0.000379183,0.000379183,0.000379183
3,591.379,1.28974,1.57603,1.05937,0.61639,0.65424,0.70777,0.50618,1.01778,1.75523,0.95674,0.000559762,0.000559762,0.000559762
4,774.022,1.22973,1.38951,1.04134,0.73531,0.73979,0.84309,0.59298,1.0256,1.30288,0.96145,0.000553073,0.000553073,0.000553073
5,970.024,1.15441,1.17933,1.02708,0.90669,0.86323,0.94122,0.63214,1.16168,1.15856,1.016,0.00054143,0.00054143,0.00054143
6,1151.17,1.12298,1.04562,1.01625,0.89696,0.9251,0.96783,0.71175,0.97336,1.10684,0.94015,0.000529788,0.000529788,0.000529788
7,1335.59,1.09604,0.94413,1.01915,0.96854,0.95337,0.98074,0.70116,1.02946,0.86569,0.95646,0.000518146,0.000518146,0.000518146
8,1517.83,1.05812,0.88096,0.99154,0.93378,0.9042,0.97751,0.74508,0.89093,0.8778,0.937,0.000506503,0.000506503,0.000506503
9,1698.83,1.05597,0.8442,1.00242,0.93822,0.98608,0.98284,0.74941,0.88182,0.7626,0.93154,0.000494861,0.000494861,0.000494861
10,1879.62,1.02673,0.8024,0.98973,0.97982,0.97142,0.98645,0.75541,0.90049,0.73612,0.93154,0.000483218,0.000483218,0.000483218
11,2066.93,1.03542,0.7768,0.98146,0.94044,0.97597,0.98111,0.73333,0.93045,0.7821,0.95807,0.000471576,0.000471576,0.000471576
12,2249.58,1.04588,0.78156,0.99232,0.96743,0.9853,0.98537,0.77139,0.8705,0.72659,0.93177,0.000459934,0.000459934,0.000459934
13,2436.32,1.00006,0.75206,0.98124,0.9778,0.98101,0.98697,0.77758,0.83273,0.65213,0.9242,0.000448291,0.000448291,0.000448291
14,2620.04,0.99374,0.73228,0.98818,0.96674,0.9766,0.9867,0.77246,0.88079,0.68058,0.93196,0.000436649,0.000436649,0.000436649
15,2847.06,0.98762,0.71959,0.97197,0.97141,0.97796,0.98365,0.75256,0.91144,0.68218,0.92905,0.000425006,0.000425006,0.000425006
16,3024.17,0.96778,0.69573,0.97889,0.97354,0.9923,0.98575,0.77355,0.85618,0.64771,0.92105,0.000413364,0.000413364,0.000413364
17,3204.01,0.93488,0.67112,0.95837,0.97429,0.97856,0.98588,0.78416,0.81947,0.62124,0.91891,0.000401722,0.000401722,0.000401722
18,3379.88,0.95168,0.65887,0.97538,0.97728,0.99154,0.98708,0.77222,0.85282,0.60144,0.92497,0.000390079,0.000390079,0.000390079
19,3560.4,0.9483,0.66391,0.96393,0.97189,0.99247,0.98665,0.7422,0.93846,0.61324,0.95273,0.000378437,0.000378437,0.000378437
20,3737.38,0.93351,0.64567,0.9647,0.98545,0.98711,0.98672,0.7763,0.84454,0.59832,0.91511,0.000366794,0.000366794,0.000366794
21,3914.45,0.92911,0.63561,0.95889,0.98064,0.98651,0.98645,0.78004,0.81666,0.57366,0.91531,0.000355152,0.000355152,0.000355152
22,4090.13,0.94303,0.63478,0.97543,0.97506,0.98379,0.98523,0.79088,0.79375,0.57136,0.91076,0.00034351,0.00034351,0.00034351
23,4269.09,0.91963,0.6276,0.95894,0.97366,0.98016,0.98548,0.78284,0.81159,0.56343,0.90961,0.000331867,0.000331867,0.000331867
24,4446.43,0.91401,0.61822,0.9597,0.98311,0.98809,0.98848,0.79289,0.79954,0.53872,0.90908,0.000320225,0.000320225,0.000320225
25,4625.19,0.89677,0.6103,0.94621,0.97789,0.98946,0.98923,0.78966,0.80421,0.54665,0.90901,0.000308582,0.000308582,0.000308582
26,4802.65,0.92667,0.62712,0.96363,0.97648,0.9827,0.98635,0.77765,0.83437,0.56005,0.92228,0.00029694,0.00029694,0.00029694
27,4980.91,0.92097,0.61045,0.9559,0.98045,0.98697,0.98697,0.77074,0.86206,0.56599,0.91927,0.000285298,0.000285298,0.000285298
28,5155.74,0.94049,0.60323,0.96312,0.98015,0.98557,0.98806,0.79381,0.79892,0.55738,0.911,0.000273655,0.000273655,0.000273655
29,5333.76,0.89343,0.57946,0.95071,0.98161,0.9876,0.98778,0.7927,0.79969,0.54018,0.91548,0.000262013,0.000262013,0.000262013
30,5511.02,0.89986,0.58832,0.95214,0.98437,0.98744,0.98718,0.78504,0.82825,0.52272,0.91474,0.00025037,0.00025037,0.00025037
31,5684.98,0.88531,0.57974,0.95732,0.9856,0.98827,0.98601,0.79218,0.79992,0.51238,0.9058,0.000238728,0.000238728,0.000238728
32,5862.5,0.87015,0.58461,0.94054,0.97897,0.99247,0.9863,0.79606,0.77703,0.51712,0.90385,0.000227086,0.000227086,0.000227086
33,6040.14,0.87955,0.57144,0.94761,0.98686,0.99195,0.98723,0.78239,0.80854,0.50927,0.90604,0.000215443,0.000215443,0.000215443
34,6215.73,0.86683,0.55748,0.93749,0.98297,0.99301,0.98625,0.77952,0.82981,0.51399,0.91209,0.000203801,0.000203801,0.000203801
35,6391.87,0.88775,0.5621,0.95371,0.98581,0.99099,0.98508,0.78207,0.81668,0.52094,0.91402,0.000192158,0.000192158,0.000192158
36,6572.22,0.85987,0.55149,0.9403,0.98651,0.99165,0.98341,0.79592,0.78158,0.49804,0.9044,0.000180516,0.000180516,0.000180516
37,6749.2,0.86484,0.55381,0.95126,0.98506,0.98998,0.98567,0.79212,0.77679,0.48703,0.90154,0.000168874,0.000168874,0.000168874
38,6926.51,0.83994,0.53435,0.92731,0.98231,0.99193,0.98642,0.79934,0.78289,0.49375,0.90192,0.000157231,0.000157231,0.000157231
39,7104.34,0.83726,0.52901,0.93565,0.98743,0.99207,0.9884,0.79295,0.79728,0.49135,0.9065,0.000145589,0.000145589,0.000145589
